indicator,topic,source
Imports of goods and services (constant LCU),Economic Policy &  External Debt,World Development Indicators
Imports of goods and services (constant LCU),Economic Policy &  External Debt ,World Development Indicators
Imports of goods and services (current LCU),Economic Policy &  External Debt,World Development Indicators
Imports of goods and services (current LCU),Economic Policy &  External Debt ,World Development Indicators
Imports of goods and services (current US$),Economic Policy &  External Debt,World Development Indicators
Imports of goods and services (current US$),Economic Policy &  External Debt ,World Development Indicators
"Imports of goods, services and income (BoP, current US$)",Economic Policy &  External Debt,World Development Indicators
"Imports of goods, services and income (BoP, current US$)",Economic Policy &  External Debt ,World Development Indicators
"Imports of goods, services and primary income (BoP, current US$)",Economic Policy &  External Debt,World Development Indicators
"Imports of goods, services and primary income (BoP, current US$)",Economic Policy &  External Debt ,World Development Indicators
"Imports, GNFS (implicit price deflator constant 2005 USD)",Economic Policy &  External Debt,GEP Economic Prospects
"Imports, GNFS (implicit price deflator constant 2005 USD)",Economic Policy &  External Debt ,GEP Economic Prospects
Improved sanitation facilities (% of population with access),Aid Effectiveness,World Development Indicators
Improved sanitation facilities (% of population with access),Aid Effectiveness ,World Development Indicators
Improved sanitation facilities (% of population with access),Climate Change,World Development Indicators
Improved sanitation facilities (% of population with access),Health,World Development Indicators
Improved sanitation facilities (% of population with access),Health ,World Development Indicators
"Improved sanitation facilities, rural (% of rural population with access)",Health,World Development Indicators
"Improved sanitation facilities, rural (% of rural population with access)",Health ,World Development Indicators
"Improved sanitation facilities, urban (% of urban population with access)",Health,World Development Indicators
"Improved sanitation facilities, urban (% of urban population with access)",Health ,World Development Indicators
"Improved sanitation facilities, urban (% of urban population with access)",Urban Development,World Development Indicators
"Improved sanitation facilities, urban (% of urban population with access)",Urban Development ,World Development Indicators
Improved water source (% of population with access),Climate Change,World Development Indicators
Improved water source (% of population with access),Infrastructure,World Development Indicators
Improved water source (% of population with access),Infrastructure ,World Development Indicators
"Improved water source, rural (% of rural population with access)",Agriculture & Rural Development,World Development Indicators
"Improved water source, rural (% of rural population with access)",Agriculture & Rural Development  ,World Development Indicators
"Improved water source, rural (% of rural population with access)",Climate Change,World Development Indicators
"Improved water source, rural (% of rural population with access)",Infrastructure,World Development Indicators
"Improved water source, rural (% of rural population with access)",Infrastructure ,World Development Indicators
"Improved water source, urban (% of urban population with access)",Climate Change,World Development Indicators
"Improved water source, urban (% of urban population with access)",Infrastructure,World Development Indicators
"Improved water source, urban (% of urban population with access)",Infrastructure ,World Development Indicators
"Improved water source, urban (% of urban population with access)",Urban Development,World Development Indicators
"Improved water source, urban (% of urban population with access)",Urban Development ,World Development Indicators
Inbound mobility rate. Total,Education,Education Statistics
Inbound mobility rate. Total,Education ,Education Statistics
"Incidence of tuberculosis (per 100,000 people)",Aid Effectiveness,World Development Indicators
"Incidence of tuberculosis (per 100,000 people)",Aid Effectiveness ,World Development Indicators
"Incidence of tuberculosis (per 100,000 people)",Health,World Development Indicators
"Incidence of tuberculosis (per 100,000 people)",Health ,World Development Indicators
"Income payments (BoP, current US$)",Economic Policy &  External Debt,World Development Indicators
"Income payments (BoP, current US$)",Economic Policy &  External Debt ,World Development Indicators
"Income receipts (BoP, current US$)",Economic Policy &  External Debt,World Development Indicators
"Income receipts (BoP, current US$)",Economic Policy &  External Debt ,World Development Indicators
Income share held by fourth 20%,Poverty,World Development Indicators
Income share held by fourth 20%,Poverty ,World Development Indicators
Income share held by highest 10%,Poverty,World Development Indicators
Income share held by highest 10%,Poverty ,World Development Indicators
Income share held by highest 20%,Poverty,World Development Indicators
Income share held by highest 20%,Poverty ,World Development Indicators
Income share held by lowest 10%,Poverty,World Development Indicators
Income share held by lowest 10%,Poverty ,World Development Indicators
Income share held by lowest 20%,Aid Effectiveness,World Development Indicators
Income share held by lowest 20%,Aid Effectiveness ,World Development Indicators
Income share held by lowest 20%,Poverty,World Development Indicators
Income share held by lowest 20%,Poverty ,World Development Indicators
Income share held by second 20%,Poverty,World Development Indicators
Income share held by second 20%,Poverty ,World Development Indicators
Income share held by third 20%,Poverty,World Development Indicators
